"ID","Year","soil_type","Variable","Simulation","value","diff","outlier"
"QY296","2019","Non-calcareous","Soil Cd",0.295342138646224,0.36208142,0.066739281353776,0
"QY297","2014","Calcareous","SOC",2.449924145,2.377503989,0.0724201560000002,0
"QY297","2014","Calcareous","Soil Cd",0.217364156928647,0.26075182,0.0433876630713533,0
"QY297","2019","Calcareous","SOC",2.398484753,2.706132029,0.307647276,0
"QY297","2019","Calcareous","Soil Cd",0.229704330985122,0.369588731,0.139884400014878,0
"QY299","2014","Non-calcareous","pH",5.703128,5.99,0.286872,0
"QY299","2014","Non-calcareous","SOC",1.5836,1.383284615,0.200315385,0
"QY299","2014","Non-calcareous","Soil Cd",0.163475537400752,0.204031011,0.0405554735992477,0
"QY299","2019","Non-calcareous","pH",5.627888,5.399412921,0.228475079,0
"QY299","2019","Non-calcareous","SOC",1.5932,1.519109616,0.074090384,0
"QY308","2014","Calcareous","SOC",1.661785755,1.523315513,0.138470242,0
"QY308","2019","Calcareous","SOC",1.649935106,1.71958352,0.069648414,0
"QY308","2019","Calcareous","Soil Cd",0.278512650088938,0.361727532,0.0832148819110619,0
"QY310","2014","Calcareous","SOC",1.457080287,0.799273401,0.657806886,0
"QY310","2019","Calcareous","SOC",1.472007294,1.36805048,0.103956814,0
"QY310","2019","Calcareous","Soil Cd",0.293367513494088,0.324888109,0.0315205955059121,0
"QY313","2014","Calcareous","SOC",2.633079719,1.856918534,0.776161185,0
"QY313","2014","Calcareous","Soil Cd",1.14066774407382,0.182707654,0.95796009007382,1
"QY313","2019","Calcareous","SOC",2.610905806,2.555438256,0.0554675499999999,0
"QY313","2019","Calcareous","Soil Cd",1.32955763359968,0.362895798,0.966661835599678,1
