site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario
QY040,QY040,2049,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.344361734,6.702896,0.91,0.378949618,0,0.45851258,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2050,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.344822727,6.702896,0.91,0.378949618,0,0.461665426,7.621273858,7.491712203,0.84,0,BAU
QY049,QY049,2020,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,3.010121905,6.672008,0.91,1.438216657,0,0.373993176,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2021,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,3.003495888,6.671744,0.91,1.438216657,0,0.376764156,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2022,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.996707271,6.67148,0.91,1.438216657,0,0.379530514,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2023,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.989878002,6.671216,0.91,1.438216657,0,0.382292199,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2024,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.983008084,6.670952,0.91,1.438216657,0,0.385049183,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2025,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.976178816,6.670688,0.91,1.438216657,0,0.387801437,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2026,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.969390198,6.670424,0.91,1.438216657,0,0.390548947,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2027,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.962682881,6.67016,0.91,1.438216657,0,0.393291699,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2028,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.956016214,6.669896,0.91,1.438216657,0,0.39602969,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2029,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.949471499,6.66972,0.91,1.438216657,0,0.398762905,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2030,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.943008084,6.669456,0.91,1.438216657,0,0.401491395,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2031,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.936666621,6.66928,0.91,1.438216657,0,0.404215111,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2032,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.930406459,6.669104,0.91,1.438216657,0,0.406934104,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2033,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.924268247,6.668928,0.91,1.438216657,0,0.409648373,10.16169848,9.988949603,0.84,0,BAU
QY049,QY049,2034,5.395667553,1.107919554,265.631325,15.96775333,1230.000019,Calcareous,2.918211337,6.668752,0.91,1.438216657,0,0.412357926,10.16169848,9.988949603,0.84,0,BAU
